id,fixed acidity,volatile acidity,citric acid,residual sugar,flavonoids,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,country,quality
46,4.6,0.52,0.15,2.1,0.426,0.054,8,65,0.9934,3.9,0.56,13.1,Spain,4
47,7.7,0.935,0.43,2.2,0.8505,0.114,22,114,0.997,3.25,0.73,9.2,Italy,5
48,8.7,0.29,0.52,1.6,0.652,0.113,12,37,0.9969,3.25,0.58,9.5,Italy,5
49,6.4,0.4,0.23,1.6,0.45,0.066,5,12,0.9958,3.34,0.56,9.2,UK,5
50,5.6,0.31,0.37,1.4,0.463,0.074,12,96,0.9954,3.32,0.58,9.2,Spain,5
51,8.8,0.66,0.26,1.7,0.568,0.074,4,23,0.9971,3.15,0.74,9.2,Italy,5
52,6.6,0.52,0.04,2.2,0.501,0.069,8,15,0.9956,3.4,0.63,9.4,Italy,6
53,6.6,0.5,0.04,2.1,0.49,0.068,6,14,0.9955,3.39,0.64,9.4,Spain,6
54,8.6,0.38,0.36,3,0.519,0.081,30,119,0.997,3.2,0.56,9.4,Spain,5
55,7.6,0.51,0.15,2.8,0.703,0.11,33,73,0.9955,3.17,0.63,10.2,UK,6
56,7.7,0.62,0.04,3.8,0.606,0.084,25,45,0.9978,3.34,0.53,9.5,Spain,5
57,10.2,0.42,0.57,3.4,0.476,0.07,4,10,0.9971,3.04,0.63,9.6,Italy,5
58,7.5,0.63,0.12,5.1,0.744,0.111,50,110,0.9983,3.26,0.77,9.4,Spain,5
59,7.8,0.59,0.18,2.3,0.557,0.076,17,54,0.9975,3.43,0.59,10,Italy,5
60,7.3,0.39,0.31,2.4,0.487,0.074,9,46,0.9962,3.41,0.54,9.4,Spain,6
61,8.8,0.4,0.4,2.2,0.515,0.079,19,52,0.998,3.44,0.64,9.2,UK,5
62,7.7,0.69,0.49,1.8,0.782,0.115,20,112,0.9968,3.21,0.71,9.3,Italy,5
63,7.5,0.52,0.16,1.9,0.581,0.085,12,35,0.9968,3.38,0.62,9.5,Spain,7
64,7,0.735,0.05,2,0.6255,0.081,13,54,0.9966,3.39,0.57,9.8,Italy,5
65,7.2,0.725,0.05,4.65,0.6475,0.086,4,11,0.9962,3.41,0.39,10.9,Italy,5
66,7.2,0.725,0.05,4.65,0.6475,0.086,4,11,0.9962,3.41,0.39,10.9,Spain,5
67,7.5,0.52,0.11,1.5,0.551,0.079,11,39,0.9968,3.42,0.58,9.6,Italy,5
68,6.6,0.705,0.07,1.6,0.5915,0.076,6,15,0.9962,3.44,0.58,10.7,UK,5
69,9.3,0.32,0.57,2,0.466,0.074,27,65,0.9969,3.28,0.79,10.7,Italy,5
70,8,0.705,0.05,1.9,0.5815,0.074,8,19,0.9962,3.34,0.95,10.5,Italy,6
71,7.7,0.63,0.08,1.9,0.569,0.076,15,27,0.9967,3.32,0.54,9.5,Spain,6
72,7.7,0.67,0.23,2.1,0.641,0.088,17,96,0.9962,3.32,0.48,9.5,Spain,5
73,7.7,0.69,0.22,1.9,0.627,0.084,18,94,0.9961,3.31,0.48,9.5,Italy,5
74,8.3,0.675,0.26,2.1,0.6225,0.084,11,43,0.9976,3.31,0.53,9.2,Italy,4
75,9.7,0.32,0.54,2.5,0.566,0.094,28,83,0.9984,3.28,0.82,9.6,Spain,5
76,8.8,0.41,0.64,2.2,0.588,0.093,9,42,0.9986,3.54,0.66,10.5,Italy,5
77,8.8,0.41,0.64,2.2,0.588,0.093,9,42,0.9986,3.54,0.66,10.5,Spain,5
78,6.8,0.785,0,2.4,0.7555,0.104,14,30,0.9966,3.52,0.55,10.7,Spain,6
79,6.7,0.75,0.12,2,0.655,0.086,12,80,0.9958,3.38,0.52,10.1,Italy,5
80,8.3,0.625,0.2,1.5,0.5875,0.08,27,119,0.9972,3.16,1.12,9.1,UK,4
81,6.2,0.45,0.2,1.6,0.48,0.069,3,15,0.9958,3.41,0.56,9.2,Italy,5
82,7.8,0.43,0.7,1.9,2.449,0.464,22,67,0.9974,3.13,1.28,9.4,Spain,5
83,7.4,0.5,0.47,2,0.58,0.086,21,73,0.997,3.36,0.57,9.1,Spain,5
84,7.3,0.67,0.26,1.8,2.206,0.401,16,51,0.9969,3.16,1.14,9.4,Spain,5
85,6.3,0.3,0.48,1.8,0.435,0.069,18,61,0.9959,3.44,0.78,10.3,Italy,6
86,6.9,0.55,0.15,2.2,0.545,0.076,19,40,0.9961,3.41,0.59,10.1,Spain,5
87,8.6,0.49,0.28,1.9,0.697,0.11,20,136,0.9972,2.93,1.95,9.9,Spain,6
88,7.7,0.49,0.26,1.9,0.457,0.062,9,31,0.9966,3.39,0.64,9.6,Spain,5
89,9.3,0.39,0.44,2.1,0.652,0.107,34,125,0.9978,3.14,1.22,9.5,Italy,5
90,7,0.62,0.08,1.8,0.566,0.076,8,24,0.9978,3.48,0.53,9,Spain,5
91,7.9,0.52,0.26,1.9,0.551,0.079,42,140,0.9964,3.23,0.54,9.5,Italy,5
92,8.6,0.49,0.28,1.9,0.697,0.11,20,136,0.9972,2.93,1.95,9.9,Spain,6
93,8.6,0.49,0.29,2,0.697,0.11,19,133,0.9972,2.93,1.98,9.8,Italy,5
94,7.7,0.49,0.26,1.9,0.457,0.062,9,31,0.9966,3.39,0.64,9.6,UK,5
95,5,1.02,0.04,1.4,0.531,0.045,41,85,0.9938,3.75,0.48,10.5,UK,4
96,4.7,0.6,0.17,2.3,0.47,0.058,17,106,0.9932,3.85,0.6,12.9,Italy,6
97,6.8,0.775,0,3,0.7425,0.102,8,23,0.9965,3.45,0.56,10.7,Spain,5
98,7,0.5,0.25,2,0.5,0.07,3,22,0.9963,3.25,0.63,9.2,Spain,5
99,7.6,0.9,0.06,2.5,0.665,0.079,5,10,0.9967,3.39,0.56,9.8,Spain,5
100,8.1,0.545,0.18,1.9,0.5635,0.08,13,35,0.9972,3.3,0.59,9,Italy,6
101,8.3,0.61,0.3,2.1,0.603,0.084,11,50,0.9972,3.4,0.61,10.2,Spain,6
102,7.8,0.5,0.3,1.9,0.525,0.075,8,22,0.9959,3.31,0.56,10.4,Italy,6
103,8.1,0.545,0.18,1.9,0.5635,0.08,13,35,0.9972,3.3,0.59,9,UK,6
104,8.1,0.575,0.22,2.1,0.5575,0.077,12,65,0.9967,3.29,0.51,9.2,UK,5
105,7.2,0.49,0.24,2.2,0.497,0.07,5,36,0.996,3.33,0.48,9.4,Italy,5
106,8.1,0.575,0.22,2.1,0.5575,0.077,12,65,0.9967,3.29,0.51,9.2,Spain,5
107,7.8,0.41,0.68,1.7,2.458,0.467,18,69,0.9973,3.08,1.31,9.3,Italy,5
108,6.2,0.63,0.31,1.7,0.629,0.088,15,64,0.9969,3.46,0.79,9.3,UK,5
109,8,0.33,0.53,2.5,0.554,0.091,18,80,0.9976,3.37,0.8,9.6,UK,6
110,8.1,0.785,0.52,2,0.8455,0.122,37,153,0.9969,3.21,0.69,9.3,Spain,5
111,7.8,0.56,0.19,1.8,0.688,0.104,12,47,0.9964,3.19,0.93,9.5,Spain,5
112,8.4,0.62,0.09,2.2,0.606,0.084,11,108,0.9964,3.15,0.66,9.8,Italy,5
113,8.4,0.6,0.1,2.2,0.605,0.085,14,111,0.9964,3.15,0.66,9.8,Italy,5
114,10.1,0.31,0.44,2.3,0.493,0.08,22,46,0.9988,3.32,0.67,9.7,Italy,6
115,7.8,0.56,0.19,1.8,0.688,0.104,12,47,0.9964,3.19,0.93,9.5,Italy,5
116,9.4,0.4,0.31,2.2,0.57,0.09,13,62,0.9966,3.07,0.63,10.5,UK,6
117,8.3,0.54,0.28,1.9,0.547,0.077,11,40,0.9978,3.39,0.61,10,Italy,6
118,7.8,0.56,0.12,2,0.578,0.082,7,28,0.997,3.37,0.5,9.4,Spain,6
119,8.8,0.55,0.04,2.2,0.76,0.119,14,56,0.9962,3.21,0.6,10.9,Spain,6
120,7,0.69,0.08,1.8,0.692,0.097,22,89,0.9959,3.34,0.54,9.2,Italy,6
121,7.3,1.07,0.09,1.7,1.211,0.178,10,89,0.9962,3.3,0.57,9,Italy,5
122,8.8,0.55,0.04,2.2,0.76,0.119,14,56,0.9962,3.21,0.6,10.9,Spain,6
123,7.3,0.695,0,2.5,0.5835,0.075,3,13,0.998,3.49,0.52,9.2,Italy,5
124,8,0.71,0,2.6,0.613,0.08,11,34,0.9976,3.44,0.53,9.5,Spain,5
125,7.8,0.5,0.17,1.6,0.56,0.082,21,102,0.996,3.39,0.48,9.5,UK,5
126,9,0.62,0.04,1.9,0.916,0.146,27,90,0.9984,3.16,0.7,9.4,Italy,5
127,8.2,1.33,0,1.7,0.804,0.081,3,12,0.9964,3.53,0.49,10.9,Spain,5
128,8.1,1.33,0,1.8,0.809,0.082,3,12,0.9964,3.54,0.48,10.9,Italy,5
129,8,0.59,0.16,1.8,0.502,0.065,3,16,0.9962,3.42,0.92,10.5,Italy,7
130,6.1,0.38,0.15,1.8,0.474,0.072,6,19,0.9955,3.42,0.57,9.4,UK,5
131,8,0.745,0.56,2,0.8135,0.118,30,134,0.9968,3.24,0.66,9.4,UK,5
132,5.6,0.5,0.09,2.3,0.395,0.049,17,99,0.9937,3.63,0.63,13,Italy,5
133,5.6,0.5,0.09,2.3,0.395,0.049,17,99,0.9937,3.63,0.63,13,UK,5
134,6.6,0.5,0.01,1.5,0.45,0.06,17,26,0.9952,3.4,0.58,9.8,Spain,6
135,7.9,1.04,0.05,2.2,0.732,0.084,13,29,0.9959,3.22,0.55,9.9,Spain,6
136,8.4,0.745,0.11,1.9,0.6735,0.09,16,63,0.9965,3.19,0.82,9.6,Spain,5
137,8.3,0.715,0.15,1.8,0.6595,0.089,10,52,0.9968,3.23,0.77,9.5,Italy,5
138,7.2,0.415,0.36,2,0.5295,0.081,13,45,0.9972,3.48,0.64,9.2,Italy,5
139,7.8,0.56,0.19,2.1,0.573,0.081,15,105,0.9962,3.33,0.54,9.5,Italy,5
140,7.8,0.56,0.19,2,0.573,0.081,17,108,0.9962,3.32,0.54,9.5,Spain,5
141,8.4,0.745,0.11,1.9,0.6735,0.09,16,63,0.9965,3.19,0.82,9.6,Italy,5
142,8.3,0.715,0.15,1.8,0.6595,0.089,10,52,0.9968,3.23,0.77,9.5,Italy,5
143,5.2,0.34,0,1.8,0.352,0.05,27,63,0.9916,3.68,0.79,14,Spain,6
144,6.3,0.39,0.08,1.7,0.447,0.066,3,20,0.9954,3.34,0.58,9.4,Italy,5
145,5.2,0.34,0,1.8,0.352,0.05,27,63,0.9916,3.68,0.79,14,UK,6
146,8.1,0.67,0.55,1.8,0.786,0.117,32,141,0.9968,3.17,0.62,9.4,UK,5
147,5.8,0.68,0.02,1.8,0.639,0.087,21,94,0.9944,3.54,0.52,10,Spain,5
148,7.6,0.49,0.26,1.6,1.327,0.236,10,88,0.9968,3.11,0.8,9.3,UK,5
149,6.9,0.49,0.1,2.3,0.517,0.074,12,30,0.9959,3.42,0.58,10.2,Spain,6
150,8.2,0.4,0.44,2.8,0.565,0.089,11,43,0.9975,3.53,0.61,10.5,Spain,6
151,7.3,0.33,0.47,2.1,0.484,0.077,5,11,0.9958,3.33,0.53,10.3,UK,6
152,9.2,0.52,1,3.4,3.206,0.61,32,69,0.9996,2.74,2,9.4,Spain,4
153,7.5,0.6,0.03,1.8,0.655,0.095,25,99,0.995,3.35,0.54,10.1,Italy,5
154,7.5,0.6,0.03,1.8,0.655,0.095,25,99,0.995,3.35,0.54,10.1,Spain,5
155,7.1,0.43,0.42,5.5,0.479,0.07,29,129,0.9973,3.42,0.72,10.5,Italy,5
156,7.1,0.43,0.42,5.5,0.484,0.071,28,128,0.9973,3.42,0.71,10.5,Spain,5
157,7.1,0.43,0.42,5.5,0.479,0.07,29,129,0.9973,3.42,0.72,10.5,Spain,5
158,7.1,0.43,0.42,5.5,0.484,0.071,28,128,0.9973,3.42,0.71,10.5,Spain,5
159,7.1,0.68,0,2.2,0.569,0.073,12,22,0.9969,3.48,0.5,9.3,Italy,5
160,6.8,0.6,0.18,1.9,0.575,0.079,18,86,0.9968,3.59,0.57,9.3,Spain,6
161,7.6,0.95,0.03,2,0.735,0.09,7,20,0.9959,3.2,0.56,9.6,Italy,5
162,7.6,0.68,0.02,1.3,0.564,0.072,9,20,0.9965,3.17,1.08,9.2,Spain,4
163,7.8,0.53,0.04,1.7,0.539,0.076,17,31,0.9964,3.33,0.56,10,UK,6
164,7.4,0.6,0.26,7.3,0.53,0.07,36,121,0.9982,3.37,0.49,9.4,Spain,5
165,7.3,0.59,0.26,7.2,0.527,0.07,35,121,0.9981,3.37,0.49,9.4,Italy,5
166,7.8,0.63,0.48,1.7,0.689,0.1,14,96,0.9961,3.19,0.62,9.5,Italy,5
167,6.8,0.64,0.1,2.1,0.617,0.085,18,101,0.9956,3.34,0.52,10.2,Spain,5
168,7.3,0.55,0.03,1.6,0.525,0.072,17,42,0.9956,3.37,0.48,9,Spain,4
169,6.8,0.63,0.07,2.1,0.634,0.089,11,44,0.9953,3.47,0.55,10.4,UK,6
170,7.5,0.705,0.24,1.8,2.0115,0.36,15,63,0.9964,3,1.59,9.5,Italy,5
171,7.9,0.885,0.03,1.8,0.5555,0.058,4,8,0.9972,3.36,0.33,9.1,Spain,4
172,8,0.42,0.17,2,0.491,0.073,6,18,0.9972,3.29,0.61,9.2,Italy,6
173,8,0.42,0.17,2,0.491,0.073,6,18,0.9972,3.29,0.61,9.2,Italy,6
174,7.4,0.62,0.05,1.9,0.526,0.068,24,42,0.9961,3.42,0.57,11.5,Spain,6
175,7.3,0.38,0.21,2,0.514,0.08,7,35,0.9961,3.33,0.47,9.5,Spain,5
176,6.9,0.5,0.04,1.5,0.575,0.085,19,49,0.9958,3.35,0.78,9.5,Spain,5
177,7.3,0.38,0.21,2,0.514,0.08,7,35,0.9961,3.33,0.47,9.5,Italy,5
178,7.5,0.52,0.42,2.3,0.591,0.087,8,38,0.9972,3.58,0.61,10.5,Italy,6
179,7,0.805,0,2.5,0.5815,0.068,7,20,0.9969,3.48,0.56,9.6,Italy,5
180,8.8,0.61,0.14,2.4,0.518,0.067,10,42,0.9969,3.19,0.59,9.5,UK,5
181,8.8,0.61,0.14,2.4,0.518,0.067,10,42,0.9969,3.19,0.59,9.5,UK,5
182,8.9,0.61,0.49,2,1.533,0.27,23,110,0.9972,3.12,1.02,9.3,Italy,5
183,7.2,0.73,0.02,2.5,0.599,0.076,16,42,0.9972,3.44,0.52,9.3,UK,5
184,6.8,0.61,0.2,1.8,0.568,0.077,11,65,0.9971,3.54,0.58,9.3,Italy,5
185,6.7,0.62,0.21,1.9,0.581,0.079,8,62,0.997,3.52,0.58,9.3,Italy,6
186,8.9,0.31,0.57,2,0.648,0.111,26,85,0.9971,3.26,0.53,9.7,Italy,5
187,7.4,0.39,0.48,2,0.527,0.082,14,67,0.9972,3.34,0.55,9.2,Italy,5
188,7.7,0.705,0.1,2.6,0.6315,0.084,9,26,0.9976,3.39,0.49,9.7,Italy,5
189,7.9,0.5,0.33,2,0.57,0.084,15,143,0.9968,3.2,0.55,9.5,Spain,5
190,7.9,0.49,0.32,1.9,0.557,0.082,17,144,0.9968,3.2,0.55,9.5,Italy,5
191,8.2,0.5,0.35,2.9,0.535,0.077,21,127,0.9976,3.23,0.62,9.4,UK,5
192,6.4,0.37,0.25,1.9,0.481,0.074,21,49,0.9974,3.57,0.62,9.8,Spain,6
193,6.8,0.63,0.12,3.8,0.684,0.099,16,126,0.9969,3.28,0.61,9.5,Spain,5
194,7.6,0.55,0.21,2.2,0.52,0.071,7,28,0.9964,3.28,0.55,9.7,UK,5
195,7.6,0.55,0.21,2.2,0.52,0.071,7,28,0.9964,3.28,0.55,9.7,Italy,5
196,7.8,0.59,0.33,2,0.547,0.074,24,120,0.9968,3.25,0.54,9.4,Italy,5
197,7.3,0.58,0.3,2.4,0.544,0.074,15,55,0.9968,3.46,0.59,10.2,Italy,5
198,11.5,0.3,0.6,2,0.425,0.067,12,27,0.9981,3.11,0.97,10.1,Italy,6
199,5.4,0.835,0.08,1.2,0.4805,0.046,13,93,0.9924,3.57,0.85,13,Italy,7
200,6.9,1.09,0.06,2.1,0.632,0.061,12,31,0.9948,3.51,0.43,11.4,Spain,4
201,9.6,0.32,0.47,1.4,0.376,0.056,9,24,0.99695,3.22,0.82,10.3,Italy,7
202,8.8,0.37,0.48,2.1,0.596,0.097,39,145,0.9975,3.04,1.03,9.3,UK,5
203,6.8,0.5,0.11,1.5,0.525,0.075,16,49,0.99545,3.36,0.79,9.5,Spain,5
204,7,0.42,0.35,1.6,0.566,0.088,16,39,0.9961,3.34,0.55,9.2,Spain,5
205,7,0.43,0.36,1.6,0.574,0.089,14,37,0.99615,3.34,0.56,9.2,Italy,6
206,12.8,0.3,0.74,2.6,0.565,0.095,9,28,0.9994,3.2,0.77,10.8,UK,7
207,12.8,0.3,0.74,2.6,0.565,0.095,9,28,0.9994,3.2,0.77,10.8,Italy,7
208,7.8,0.57,0.31,1.8,0.516,0.069,26,120,0.99625,3.29,0.53,9.3,Spain,5
209,7.8,0.44,0.28,2.7,0.632,0.1,18,95,0.9966,3.22,0.67,9.4,Italy,5
210,11,0.3,0.58,2.1,0.36,0.054,7,19,0.998,3.31,0.88,10.5,Spain,7
211,9.7,0.53,0.6,2,0.354,0.039,5,19,0.99585,3.3,0.86,12.4,Italy,6
212,8,0.725,0.24,2.8,0.6325,0.083,10,62,0.99685,3.35,0.56,10,UK,6
213,11.6,0.44,0.64,2.1,0.427,0.059,5,15,0.998,3.21,0.67,10.2,Spain,6
214,8.2,0.57,0.26,2.2,0.471,0.06,28,65,0.9959,3.3,0.43,10.1,Spain,5
215,7.8,0.735,0.08,2.4,0.6805,0.092,10,41,0.9974,3.24,0.71,9.8,Spain,6
216,7,0.49,0.49,5.6,0.447,0.06,26,121,0.9974,3.34,0.76,10.5,Italy,5
217,8.7,0.625,0.16,2,0.6925,0.101,13,49,0.9962,3.14,0.57,11,Spain,5
218,8.1,0.725,0.22,2.2,0.5775,0.072,11,41,0.9967,3.36,0.55,9.1,Spain,5
219,7.5,0.49,0.19,1.9,0.527,0.076,10,44,0.9957,3.39,0.54,9.7,Spain,5
220,7.8,0.53,0.33,2.4,0.559,0.08,24,144,0.99655,3.3,0.6,9.5,Italy,5
221,7.8,0.34,0.37,2,0.512,0.082,24,58,0.9964,3.34,0.59,9.4,Italy,6
222,7.4,0.53,0.26,2,0.664,0.101,16,72,0.9957,3.15,0.57,9.4,UK,5
223,6.8,0.61,0.04,1.5,0.468,0.057,5,10,0.99525,3.42,0.6,9.5,Spain,5
224,8.6,0.645,0.25,2,0.6085,0.083,8,28,0.99815,3.28,0.6,10,Italy,6
225,8.4,0.635,0.36,2,0.6355,0.089,15,55,0.99745,3.31,0.57,10.4,Spain,4
226,7.7,0.43,0.25,2.6,0.494,0.073,29,63,0.99615,3.37,0.58,10.5,Spain,6
227,8.9,0.59,0.5,2,1.862,0.337,27,81,0.9964,3.04,1.61,9.5,UK,6
228,9,0.82,0.14,2.6,0.691,0.089,9,23,0.9984,3.39,0.63,9.8,UK,5
229,7.7,0.43,0.25,2.6,0.494,0.073,29,63,0.99615,3.37,0.58,10.5,Italy,6
230,6.9,0.52,0.25,2.6,0.561,0.081,10,37,0.99685,3.46,0.5,11,Italy,5
231,5.2,0.48,0.04,1.6,0.414,0.054,19,106,0.9927,3.54,0.62,12.2,Spain,7
232,8,0.38,0.06,1.8,0.504,0.078,12,49,0.99625,3.37,0.52,9.9,Italy,6
233,8.5,0.37,0.2,2.8,0.561,0.09,18,58,0.998,3.34,0.7,9.6,Italy,6
234,6.9,0.52,0.25,2.6,0.561,0.081,10,37,0.99685,3.46,0.5,11,Italy,5
235,8.2,1,0.09,2.3,0.625,0.065,7,37,0.99685,3.32,0.55,9,Italy,6
236,7.2,0.63,0,1.9,0.674,0.097,14,38,0.99675,3.37,0.58,9,Italy,6
237,7.2,0.63,0,1.9,0.674,0.097,14,38,0.99675,3.37,0.58,9,Spain,6
238,7.2,0.645,0,1.9,0.6785,0.097,15,39,0.99675,3.37,0.58,9.2,Spain,6
239,7.2,0.63,0,1.9,0.674,0.097,14,38,0.99675,3.37,0.58,9,Italy,6
240,8.2,1,0.09,2.3,0.625,0.065,7,37,0.99685,3.32,0.55,9,Spain,6
241,8.9,0.635,0.37,1.7,1.5055,0.263,5,62,0.9971,3,1.09,9.3,UK,5
242,12,0.38,0.56,2.1,0.579,0.093,6,24,0.99925,3.14,0.71,10.9,Italy,6
243,7.7,0.58,0.1,1.8,0.684,0.102,28,109,0.99565,3.08,0.49,9.8,Spain,6
244,15,0.21,0.44,2.2,0.438,0.075,10,24,1.00005,3.07,0.84,9.2,Italy,7
245,15,0.21,0.44,2.2,0.438,0.075,10,24,1.00005,3.07,0.84,9.2,Spain,7
246,7.3,0.66,0,2,0.618,0.084,6,23,0.9983,3.61,0.96,9.9,Italy,6
247,7.1,0.68,0.07,1.9,0.579,0.075,16,51,0.99685,3.38,0.52,9.5,Spain,5
248,8.2,0.6,0.17,2.3,0.54,0.072,11,73,0.9963,3.2,0.45,9.3,Spain,5
249,7.7,0.53,0.06,1.7,0.529,0.074,9,39,0.99615,3.35,0.48,9.8,UK,6
250,7.3,0.66,0,2,0.618,0.084,6,23,0.9983,3.61,0.96,9.9,Spain,6
251,10.8,0.32,0.44,1.6,0.411,0.063,16,37,0.9985,3.22,0.78,10,Spain,6
252,7.1,0.6,0,1.8,0.55,0.074,16,34,0.9972,3.47,0.7,9.9,Italy,6
253,11.1,0.35,0.48,3.1,0.555,0.09,5,21,0.9986,3.17,0.53,10.5,UK,5
254,7.7,0.775,0.42,1.9,0.6925,0.092,8,86,0.9959,3.23,0.59,9.5,Italy,5
255,7.1,0.6,0,1.8,0.55,0.074,16,34,0.9972,3.47,0.7,9.9,Italy,6
256,8,0.57,0.23,3.2,0.536,0.073,17,119,0.99675,3.26,0.57,9.3,UK,5
257,9.4,0.34,0.37,2.2,0.477,0.075,5,13,0.998,3.22,0.62,9.2,Italy,5
258,6.6,0.695,0,2.1,0.5835,0.075,12,56,0.9968,3.49,0.67,9.2,Spain,5
259,7.7,0.41,0.76,1.8,3.178,0.611,8,45,0.9968,3.06,1.26,9.4,Spain,5
260,10,0.31,0.47,2.6,0.518,0.085,14,33,0.99965,3.36,0.8,10.5,UK,7
261,7.9,0.33,0.23,1.7,0.484,0.077,18,45,0.99625,3.29,0.65,9.3,Italy,5
262,7,0.975,0.04,2,0.7275,0.087,12,67,0.99565,3.35,0.6,9.4,Spain,4
263,8,0.52,0.03,1.7,0.506,0.07,10,35,0.99575,3.34,0.57,10,UK,5
264,7.9,0.37,0.23,1.8,0.496,0.077,23,49,0.9963,3.28,0.67,9.3,Spain,5
265,12.5,0.56,0.49,2.4,0.488,0.064,5,27,0.9999,3.08,0.87,10.9,Italy,5
266,11.8,0.26,0.52,1.8,0.433,0.071,6,10,0.9968,3.2,0.72,10.2,Spain,7
